datetime,open,high,low,close,volume,symbol
2025-03-03 00:00:00,94269.99,94416.46,93630.31,93658.25,719.82397,BTC/USDT
2025-03-03 00:15:00,93658.24,93899.98,93600.0,93843.86,417.88115,BTC/USDT
2025-03-03 00:30:00,93843.85,93908.21,93351.15,93706.01,499.20303,BTC/USDT
2025-03-03 00:45:00,93706.0,93823.02,93289.79,93314.89,257.82049,BTC/USDT
2025-03-03 01:00:00,93314.89,93419.99,92812.15,92862.72,574.17469,BTC/USDT
2025-03-03 01:15:00,92862.72,93212.45,92649.58,93059.14,668.04425,BTC/USDT
2025-03-03 01:30:00,93059.14,93158.24,92703.26,92962.26,358.23224,BTC/USDT
2025-03-03 01:45:00,92962.27,93212.96,92756.0,93084.64,301.91466,BTC/USDT
2025-03-03 02:00:00,93084.64,93186.96,92805.03,92944.53,278.34608,BTC/USDT
2025-03-03 02:15:00,92944.53,93026.86,92433.5,92437.12,357.73448,BTC/USDT
2025-03-03 02:30:00,92437.99,93245.3,92437.41,93083.99,521.47446,BTC/USDT
2025-03-03 02:45:00,93083.99,93442.83,93075.47,93318.24,334.66567,BTC/USDT
2025-03-03 03:00:00,93318.23,93437.68,92828.64,92883.99,370.40499,BTC/USDT
2025-03-03 03:15:00,92884.0,92951.5,92450.0,92718.0,530.69305,BTC/USDT
2025-03-03 03:30:00,92718.01,92844.01,92520.7,92550.26,245.48027,BTC/USDT
2025-03-03 03:45:00,92550.27,92920.45,92531.8,92709.98,186.87118,BTC/USDT
2025-03-03 04:00:00,92709.98,92817.72,92600.01,92696.54,185.66872,BTC/USDT
2025-03-03 04:15:00,92696.17,92910.87,92590.25,92700.0,442.81636,BTC/USDT
2025-03-03 04:30:00,92699.99,92794.55,92591.1,92794.55,185.57541,BTC/USDT
2025-03-03 04:45:00,92794.55,92947.67,92730.63,92866.0,182.14659,BTC/USDT
2025-03-03 05:00:00,92866.01,93117.99,92830.44,92996.01,164.25924,BTC/USDT
2025-03-03 05:15:00,92996.01,93087.98,92870.8,92982.04,197.02338,BTC/USDT
2025-03-03 05:30:00,92982.05,93293.38,92928.83,93273.66,528.65866,BTC/USDT
2025-03-03 05:45:00,93273.26,93361.46,93195.35,93344.0,232.2415,BTC/USDT
2025-03-03 06:00:00,93344.78,93344.78,92925.93,92986.63,198.37282,BTC/USDT
