datetime,open,high,low,close,volume,symbol
2025-03-01 00:00:00,84349.95,86558.0,83824.78,86064.53,25785.05464,BTC/USDT
2025-03-02 00:00:00,86064.54,95000.0,85050.6,94270.0,54889.09045,BTC/USDT
2025-03-03 00:00:00,94269.99,94416.46,85117.11,86220.61,59171.10218,BTC/USDT
2025-03-04 00:00:00,86221.16,88967.52,81500.0,87281.98,55609.10706,BTC/USDT
2025-03-05 00:00:00,87281.98,91000.0,86334.53,90606.01,38264.01163,BTC/USDT
2025-03-06 00:00:00,90606.0,92810.64,87836.0,89931.89,34342.44902,BTC/USDT
2025-03-07 00:00:00,89931.88,91283.02,84667.03,86801.75,57980.35713,BTC/USDT
2025-03-08 00:00:00,86801.74,86897.25,85218.47,86222.45,12989.23054,BTC/USDT
2025-03-09 00:00:00,86222.46,86500.0,80000.0,80734.37,26115.39345,BTC/USDT
2025-03-10 00:00:00,80734.48,84123.46,77459.91,78595.86,47633.38405,BTC/USDT
2025-03-11 00:00:00,78595.86,83617.4,76606.0,82932.99,48770.06853,BTC/USDT
2025-03-12 00:00:00,82932.99,84539.85,80607.65,83680.12,31933.986,BTC/USDT
2025-03-13 00:00:00,83680.12,84336.33,79939.9,81115.78,27546.27412,BTC/USDT
2025-03-14 00:00:00,81115.78,82270.51,80818.84,82038.5,4242.83821,BTC/USDT
